"Source:","C:\Users\31616\Documents\Projects_2021\Modular\Wavefolder\Buchla_Timbre\Buchla_Timbre.sch"
"Date:","12/03/21 12:50:01"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","75"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10nF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C2, ","1","10uF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C3, ","1","100pF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C4, C5, C9, C10, C11, C12, ","6","100nF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol",""
"C6, C7, ","2","10uF","CP_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, small symbol",""
"C8, C13, ","2","47pF","C_Small","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","Unpolarized capacitor, small symbol",""
"D1, D2, ","2","1N4148","DIODE","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Diode, anode on pin 1, for simulation only!",""
"J1, J2, J6, J7, ","4","PAD","Conn_01x01","LP_Footprint_Library:Solder_Pad","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, J4, J5, J8, ","4","PAD","Conn_01x01","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","2N3906","2N3906","Package_TO_SOT_THT:TO-92_Inline_Wide","-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",""
"Q2, ","1","j112","BF545A","Package_TO_SOT_THT:TO-92_Inline_Wide","5mA Idss, 30V Vgs, N-Channel JFET, SOT-23",""
"R1, ","1","120k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2, ","1","39k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R3, R6, R26, ","3","100k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R4, R38, ","2","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R5, R12, R32, ","3","33k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R7, R17, ","2","68k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R8, ","1","3k3","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R9, ","1","680k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R10, R13, ","2","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R11, ","1","6k8","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R14, ","1","49k9","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R15, ","1","91k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R16, ","1","30k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R18, ","1","2k2","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R19, ","1","4k7","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R20, ","1","240k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R21, R22, R23, R24, R25, R33, ","6","150k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R27, ","1","47k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R28, R37, ","2","470k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R29, ","1","18k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R30, ","1","1M5","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R31, ","1","75k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R34, R36, ","2","51k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R35, ","1","22k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"RV1, RV2, RV3, ","3","100k","R_POT","LP_Footprint_Library:Simple_Horizontal_Potmeter","Potentiometer",""
"RV4, ","1","100k","R_POT_TRIM","LP_Footprint_Library:Tayda_Trimpot_6mm","Trim-potentiometer",""
"TP1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","test point",""
"U1, ","1","SIGNAL_IN","LP_Jack_3.5mm","LP_Footprint_Library:THONKICON_Jack","",""
"U2, ","1","CV_IN","LP_Jack_3.5mm","LP_Footprint_Library:THONKICON_Jack","",""
"U3, ","1","TL072","TL072","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",""
"U4, U5, ","2","TL074","TL074","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14",""
"U6, ","1","SIGNAL_OUT","LP_Jack_3.5mm","LP_Footprint_Library:THONKICON_Jack","",""
"U7, ","1","IDC_10","IDC_10","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","",""
